lat,lon,datetime,year,pope,origin,region,name_original,name_baptismal
36.45,37.16,1628-01-01T00:00:00Z,1628,Urban VIII,Aleppo,Levant,Amor,Ioannes VITELLESCHI
36.2,37.41,1654-01-01T00:00:00Z,1654,Innocent X,Aleppo,Levant,Ahmet,Ioannes DURANTES
35.95,37.16,1694-01-01T00:00:00Z,1694,,Aleppo,Levant,"Vehram,* fil. Meemet",Stephanus BUTI
36.2,36.91,1698-01-01T00:00:00Z,1698,,Aleppo,Levant,"Nasli, fil. Hibraim (nunc Elia Sciai)",Magdalena SCIAI
37.0,3.04,1624-01-01T00:00:00Z,1624,Urban VIII,Algiers,North Africa,"Mamet, fil. Beneis (Reniis)",Petrus BONFILIUS
36.98776412907379,3.1172542485937367,1624-01-01T00:00:00Z,1624,Urban VIII,Algiers,North Africa,"Iussuf, fil. Mustafa",Franciscus (DE CURTIS)
36.95225424859374,3.1869463130731184,1627-01-01T00:00:00Z,1627,Urban VIII,Algiers,North Africa,Iussuf ,Michelangelo (ANDROSILLA)
36.896946313073116,3.2422542485937367,1635-01-01T00:00:00Z,1635,Urban VIII,Algiers,North Africa,Ali Bainol,Franciscus Maria BAINOL
36.82725424859374,3.2777641290737884,1627-01-01T00:00:00Z,1627,Urban VIII,Algiers,North Africa,"Media, fil. Ali",Ioannes Augustinus DE LAURENTIIS
36.75,3.29,1638-01-01T00:00:00Z,1638,Urban VIII,Algiers,North Africa,Ebraim,Ioannes PALLOTTA
36.67274575140626,3.2777641290737884,1640-01-01T00:00:00Z,1640,Urban VIII,Algiers,North Africa,"Briam, fil. Amet",Petrus Maria ALDOBRANDINUS
36.603053686926884,3.2422542485937367,1647-01-01T00:00:00Z,1647,Innocent X,Algiers,North Africa,"Salem,* fil. q. Amet, ethiops",Franciscus IMPERIALIS
36.54774575140626,3.1869463130731184,1648-01-01T00:00:00Z,1648,Innocent X,Algiers,North Africa,"Ahmet,* fil. q. Ibraim",Carolus CARDUCIUS
36.51223587092621,3.117254248593737,1648-01-01T00:00:00Z,1648,Innocent X,Algiers,North Africa,"Assan, fil. q. Ali",Hippolitus ROCCUS
36.5,3.04,1651-01-01T00:00:00Z,1651,Innocent X,Algiers,North Africa,"Chasem, fil. Ali",Ioseph WELTI
36.51223587092621,2.9627457514062634,1658-01-01T00:00:00Z,1658,Alexander VII,Algiers,North Africa,"Amet, fil. Habdaraman et Fatima, maurus",Ioannes FORTUNATUS
36.54774575140626,2.8930536869268817,1662-01-01T00:00:00Z,1662,Alexander VII,Algiers,North Africa,"Ali,* fil. q. Say",Antonius AMADIO
36.603053686926884,2.8377457514062634,1666-01-01T00:00:00Z,1666,Alexander VII,Algiers,North Africa,"Amet, fil. q. Ayssi",Ioseph PELLONIUS
36.67274575140626,2.8022358709262116,1675-01-01T00:00:00Z,1675,Clement X,Algiers,North Africa,"Musa, fil. Aggi Meemeth",Petrus Egidius NABONA
36.75,2.79,1680-01-01T00:00:00Z,1680,Innocent XI,Algiers,North Africa,"Mustafa, fil. Assan",Petru DE BERNARDO
36.82725424859374,2.8022358709262116,1684-01-01T00:00:00Z,1684,Innocent XI,Algiers,North Africa,"Zianus, fil. q. Habdula, maurus",Nicolaus DE ROSSI
36.896946313073116,2.837745751406263,1687-01-01T00:00:00Z,1687,Innocent XI,Algiers,North Africa,"Ahmeth, fil. q. Tabbi",Georgius DE BELLIS
36.95225424859374,2.8930536869268817,1695-01-01T00:00:00Z,1695,,Algiers,North Africa,"Amet, fil. q. Amet",Ioseph PARAVICINI
36.98776412907379,2.962745751406263,1695-01-01T00:00:00Z,1695,,Algiers,North Africa,"Ali, fil. Assan ",Michael Angelus TASSIS
44.15,17.6,1637-01-01T00:00:00Z,1637,Urban VIII,Bosnia,Balkans,Assan,Gaspar MAURITIUS
44.134923155196475,17.68550503583142,1660-01-01T00:00:00Z,1660,Alexander VII,Bosnia,Balkans,"Fatima, fil. Cucupae",Agnes Innocentia DE NATALI
44.09151111077974,17.760696902421635,1662-01-01T00:00:00Z,1662,Alexander VII,Bosnia,Balkans,"Ali, fil. q. Amet",Marcus Franciscus RANUCCI
44.025,17.81650635094611,1678-01-01T00:00:00Z,1678,Innocent XI,Bosnia,Balkans,"Assan, fil. Ali",Franciscua FIDELE
43.94341204441673,17.846201938253053,1678-01-01T00:00:00Z,1678,Innocent XI,Bosnia,Balkans,"Sciaba,* fil. Meemet",Petrus Paulus PACIFICUS
43.856587955583265,17.846201938253053,1678-01-01T00:00:00Z,1678,Innocent XI,Bosnia,Balkans,"Meemet, fil. q. Musa",Dominicus PERSI
43.775,17.81650635094611,1688-01-01T00:00:00Z,1688,Innocent XI,Bosnia,Balkans,"Mehemet, fil. Amet",Petrus Paulus DE CLOSERDA
43.708488889220256,17.760696902421635,1695-01-01T00:00:00Z,1695,,Bosnia,Balkans,"Ussain, fil. Eiuppi Hoggia",Nicolaus SPINELLUS
43.66507684480352,17.68550503583142,1696-01-01T00:00:00Z,1696,,Bosnia,Balkans,"Sefer, fil. Aracep Vindongia (?)",Philippus Ioannes GALLI
43.65,17.6,1696-01-01T00:00:00Z,1696,,Bosnia,Balkans,"Murat, fil. Sali",Nicolaus ALBERINI
43.66507684480352,17.514494964168584,1697-01-01T00:00:00Z,1697,,Bosnia,Balkans,"Sabba, fil. q. Ali",Ioseph Angelus RUSCONI
43.708488889220256,17.439303097578367,1697-01-01T00:00:00Z,1697,,Bosnia,Balkans,"Mehemet, fil. Islan",Eugenius AUGUSTINUS
43.775,17.383493649053893,1697-01-01T00:00:00Z,1697,,Bosnia,Balkans,"Assan, fil. Aracep",Bernardinus BENZA
43.856587955583265,17.35379806174695,1698-01-01T00:00:00Z,1698,,Bosnia,Balkans,"Meemet, fil. q. Selim",Antonius Franciscus ALVAREZ
43.94341204441673,17.35379806174695,1698-01-01T00:00:00Z,1698,,Bosnia,Balkans,"Zapphira, fil. Ussain",Maria Antonia ALTAMIRA
44.025,17.383493649053893,1699-01-01T00:00:00Z,1699,,Bosnia,Balkans,"Amet, fil. Aracep",Ioseph BUGHETTI
44.09151111077974,17.439303097578367,1699-01-01T00:00:00Z,1699,,Bosnia,Balkans,"Saha, fil. Mugharem",Paula MARIANELLI
44.134923155196475,17.514494964168584,1699-01-01T00:00:00Z,1699,,Bosnia,Balkans,"Sultana, fil. q. Haggi Meemed",Teresia CESARINI
30.29,31.23,1636-01-01T00:00:00Z,1636,Urban VIII,Cairo,North Africa,Ali,Petrus RAGGIUS
29.915,31.44650635094611,1644-01-01T00:00:00Z,1644,Urban VIII,Cairo,North Africa,"Ebrahim, fil. q. Amet, ethiops",Michael Antelus MUTUS
29.915,31.013493649053892,1665-01-01T00:00:00Z,1665,Alexander VII,Cairo,North Africa,"Meemeth, fil. Ali, maurus",Antonius DE NICOLAO
33.76,36.28,1625-01-01T00:00:00Z,1625,Urban VIII,Damascus,Levant,"Ali, fil. Mehmet et Asse",Ioannes (DELLA PORTA)
41.26,28.97,1600-01-01T00:00:00Z,1600,,Istanbul,Ottoman Core,"....., fil. Ibrimbassiae et Annae della Gerghitia, renegatae",Angelus (PALLASETA)
41.25786121534345,29.00263154805501,1600-01-01T00:00:00Z,1600,,Istanbul,Ottoman Core,Isaias,Dominicus (CANDERENI)
